읍면동,주차수요량,WiFi 접속자수,카드이용자수,자동차등록수,사업체수,총인구수,면수
이호동,55071,114543,269222,5412,281,4654,804
도두동,65333,141161,441864,9090,991,3257,897
봉개동,75072,393438,362387,3873,269,4936,327
외도동,75466,994026,944828,11724,1185,21741,514
삼양동,78848,638591,1042792,12993,1000,25153,656
건입동,113170,1018933,763641,4279,750,9857,370
화북동,130560,1346005,1025585,14582,1546,25391,324
구좌읍,146522,565136,952715,9161,1738,16283,4
한림읍,233952,450801,1377325,12596,2174,25003,53
오라동,183289,300518,854466,11943,978,14906,971
아라동,186471,1552059,2301873,18729,2049,34321,821
삼도동,191320,2143600,1409400,18704,2396,23007,769
일도동,197650,3617973,2448666,15917,3536,37677,1176
조천읍,219234,1677427,1589216,14437,1873,24718,175
용담동,258953,2471079,3467293,23706,1918,23283,828
노형동,323489,4834174,4562480,59875,4476,56223,1587
연동,342261,3126565,4303620,167593,4649,43217,832
애월읍,394897,939748,2262602,22731,2514,36550,36
이도동,500447,4783256,4538944,46050,6694,58126,2292
